id,agent_type,o_zone_id,d_zone_id,o_zone_name,d_zone_name,o_node_id,d_node_id,path_node_seq,path_link_seq,b_generated,b_complete_trip,geometry,departure_time
459,v,5,74,,,147,651,[],[],False,False,"LINESTRING(-111.930031 33.436451,-111.934949 33.414314)",time:0730
460,v,5,75,,,147,718,[],[],False,False,"LINESTRING(-111.930031 33.436451,-111.930664 33.415274)",time:0720
461,v,5,76,,,147,707,[],[],False,False,"LINESTRING(-111.930031 33.436451,-111.920387 33.414944)",time:0737
470,v,5,85,,,147,686,[],[],False,False,"LINESTRING(-111.930031 33.436451,-111.926503 33.409755)",time:0701
479,v,5,94,,,147,650,[],[],False,False,"LINESTRING(-111.930031 33.436451,-111.934909 33.407991)",time:0714
482,v,5,97,,,147,647,[],[],False,False,"LINESTRING(-111.930031 33.436451,-111.917695 33.408003)",time:0728
1302,v,15,22,,,716,692,[],[],False,False,"LINESTRING(-111.925711 33.434004,-111.942702 33.429106)",time:0712
1324,v,15,44,,,674,19,[],[],False,False,"LINESTRING(-111.92552 33.434078,-111.934986 33.425091)",time:0704
1325,v,15,45,,,716,655,[],[],False,False,"LINESTRING(-111.925711 33.434004,-111.929059 33.422413)",time:0702
1340,v,15,60,,,674,710,[],[],False,False,"LINESTRING(-111.92552 33.434078,-111.900495 33.421696)",time:0755
1357,v,15,77,,,716,644,[],[],False,False,"LINESTRING(-111.925711 33.434004,-111.917699 33.415184)",time:0724
1365,v,15,85,,,716,686,[],[],False,False,"LINESTRING(-111.925711 33.434004,-111.926503 33.409755)",time:0734
1377,v,15,97,,,716,647,[],[],False,False,"LINESTRING(-111.925711 33.434004,-111.917695 33.408003)",time:0736
1802,v,21,33,,,220,656,[],[],False,False,"LINESTRING(-111.952374 33.4305,-111.939408 33.425507)",time:0711
1811,v,21,42,,,220,648,[],[],False,False,"LINESTRING(-111.952374 33.4305,-111.942399 33.422483)",time:0720
1816,v,21,47,,,220,646,[],[],False,False,"LINESTRING(-111.952374 33.4305,-111.917682 33.42223)",time:0747
1820,v,21,51,,,220,642,[],[],False,False,"LINESTRING(-111.952374 33.4305,-111.952216 33.421452)",time:0755
1843,v,21,74,,,220,651,[],[],False,False,"LINESTRING(-111.952374 33.4305,-111.934949 33.414314)",time:0737
1845,v,21,76,,,220,707,[],[],False,False,"LINESTRING(-111.952374 33.4305,-111.920387 33.414944)",time:0745
1860,v,21,91,,,220,640,[],[],False,False,"LINESTRING(-111.952374 33.4305,-111.952163 33.406802)",time:0725
1891,v,22,44,,,692,19,[],[],False,False,"LINESTRING(-111.942702 33.429106,-111.934986 33.425091)",time:0715
1923,v,22,76,,,119,707,[],[],False,False,"LINESTRING(-111.942549 33.42914,-111.920387 33.414944)",time:0702
1938,v,22,91,,,119,640,[],[],False,False,"LINESTRING(-111.942549 33.42914,-111.952163 33.406802)",time:0709
1944,v,22,97,,,119,647,[],[],False,False,"LINESTRING(-111.942549 33.42914,-111.917695 33.408003)",time:0730
