o_zone_id,d_zone_id,volume
46099001700,46099000100,3309.6469115633877
46099001700,46099010404,4926.344910640594
46099010600,46099001600,895.6433255517345
46099010600,46099001502,4026.6811872485164
46099010600,46099000600,1741.896054446784
46099010600,46099000500,4235.590547314765
46099010600,46099000702,1857.9000208218483
46099010600,46099001110,11084.092580767317
46099010600,46099001105,412.6333802478757
46099010600,46099001108,2767.416338995807
46099010600,46099001109,4643.817821021771
46099010600,46099001112,234.73586574706303
46099010600,46099001107,1372.72321708193
46099010600,46099001111,474.76918487052103
46099010600,46099001200,1095.4598712524744
46099010600,46099001002,4111.472497346625
46099010600,46099000900,1387.4124456907653
46099010600,46099001805,510.68276696145307
46099010600,46099001806,764.985476119708
46099010600,46099001801,584.1004851568526
46099010600,46099010401,210.42415090464135
46099010600,46099001804,189.7449472293499
