node_id,zone_id,ctrl_type,node_type,activity_type,x_coord,y_coord,production,attraction
922,,0,,poi,-77.02622814,38.89651723,2.298686885,2.298686885
923,,0,,poi,-77.03059099,38.89763652,7.111446504,7.111446504
924,,0,,poi,-77.02493702,38.89764331,2.990644866,2.990644866
925,,0,,poi,-77.02485681,38.89764407,2.948557976,2.948557976
926,,0,,poi,-77.02462039,38.89764545,3.076056495,3.076056495
927,,0,,poi,-77.03126312,38.89763465,6.810649027,6.810649027
928,,0,,poi,-77.0247393,38.89764514,5.778282381,5.778282381
929,,0,,poi,-77.0273148,38.89773437,1.635199448,1.635199448
930,,0,,poi,-77.02784743,38.89762471,5.702773549,5.702773549
931,,0,,poi,-77.03039815,38.89764063,6.977758736,6.977758736
932,,0,,poi,-77.0234981,38.89703088,0.727855621,0.727855621
933,,0,,poi,-77.02328365,38.89699445,8.476794718,8.476794718
934,,0,,poi,-77.0258009,38.89713625,1.501511681,1.501511681
935,,0,,poi,-77.02481274,38.89712826,2.015219305,2.015219305
936,,0,,poi,-77.03158083,38.89771065,20.64980863,20.64980863
937,,0,,poi,-77.02625893,38.89697483,1.997889409,1.997889409
938,,0,,poi,-77.03133928,38.89808086,1.46437619,1.46437619
939,,0,,poi,-77.03160003,38.89807478,8.376528893,8.376528893
940,,0,,poi,-77.03042863,38.89805242,19.16934039,19.16934039
941,,0,,poi,-77.03279302,38.89784105,109.71557,109.71557
942,,0,,poi,-77.02913655,38.89783861,51.41656282,51.41656282
943,,0,,poi,-77.02358542,38.89702893,1.797357759,1.797357759
944,,0,,poi,-77.03025052,38.89759378,2.653949748,2.653949748
945,,0,,poi,-77.02465411,38.8971359,1.449521994,1.449521994
946,,0,,poi,-77.02850092,38.89766729,22.90021938,22.90021938
947,,0,,poi,-77.0245811,38.89713601,1.391343058,1.391343058
948,,0,,poi,-77.02430463,38.89705299,15.03492241,15.03492241
949,,0,,poi,-77.02776062,38.89801793,14.53730683,14.53730683
950,,0,,poi,-77.02489683,38.89803659,9.303678315,9.303678315
951,,0,,poi,-77.03127658,38.89803974,2.571013819,2.571013819
952,,0,,poi,-77.03120635,38.8980389,2.614338558,2.614338558
953,,0,,poi,-77.02849517,38.89802999,21.40489694,21.40489694
954,,0,,poi,-77.0250161,38.89754884,1.130156772,1.130156772
955,,0,,poi,-77.02736555,38.89787897,2.583392316,2.583392316
956,,0,,poi,-77.02757852,38.89768705,8.017552481,8.017552481
957,,0,,poi,-77.02550446,38.89793757,1.397370848,1.397370848
958,,0,,poi,-77.03093121,38.89763813,16.36808653,16.36808653
959,,0,,poi,-77.02436767,38.89757411,10.10456707,10.10456707
960,,0,,poi,-77.02521055,38.89755274,2.448466699,2.448466699
961,,0,,poi,-77.02731009,38.89758039,4.952636634,4.952636634
962,,0,,poi,-77.02642847,38.89707593,2.915136034,2.915136034
963,,0,,poi,-77.02472771,38.89713565,1.412386503,1.412386503
964,,0,,poi,-77.02433283,38.89779986,15.89027655,15.89027655
965,,0,,poi,-77.02630457,38.89691114,2.431136803,2.431136803
966,,0,,poi,-77.02744657,38.89763524,3.156516725,3.156516725
967,,0,,poi,-77.02771368,38.89762428,3.010450461,3.010450461
968,,0,,poi,-77.02572821,38.89714466,1.172243662,1.172243662
969,,0,,poi,-77.02649995,38.89784898,59.80175666,59.80175666
970,,0,,poi,-77.02740681,38.89805838,11.31023267,11.31023267
971,,0,,poi,-77.02739107,38.89780728,2.335822376,2.335822376
972,,0,,poi,-77.02780188,38.89780164,2.548732524,2.548732524
973,,0,,poi,-77.02439453,38.89808955,11.51819142,11.51819142
974,,0,,poi,-77.02840997,38.90018487,19.48127852,19.48127852
975,,0,,poi,-77.02910604,38.89955369,19.16562684,19.16562684
976,,0,,poi,-77.02017957,38.89936554,0.929625122,0.929625122
977,,0,,poi,-77.03102794,38.90408809,20.85652953,20.85652953
978,,0,,poi,-77.03328431,38.90220637,10.85346613,10.85346613
979,,0,,poi,-77.03328478,38.90196946,6.264757311,6.264757311
980,,0,,poi,-77.02764228,38.90295325,31.41538743,31.41538743
981,,0,,poi,-77.02636302,38.90283605,1.621583102,1.621583102
982,,0,,poi,-77.02760775,38.90168864,34.12132687,34.12132687
983,,0,,poi,-77.02485403,38.90283267,1.129349479,1.129349479
984,,0,,poi,-77.02665279,38.90211728,18.80912613,18.80912613
985,,0,,poi,-77.03324581,38.89961279,4.185169822,4.185169822
986,,0,,poi,-77.03230431,38.89980876,19.98013194,19.98013194
987,,0,,poi,-77.02751778,38.90339018,33.73759346,33.73759346
988,,0,,poi,-77.02778672,38.90216867,12.07893733,12.07893733
989,,0,,poi,-77.02925334,38.9010109,17.99709673,17.99709673
990,,0,,poi,-77.02925643,38.90415307,22.92992777,22.92992777
991,,0,,poi,-77.02920914,38.90061164,4.169895833,0.204406658
992,,0,,poi,-77.02930376,38.90212356,12.72261918,12.72261918
993,,0,,poi,-77.02934664,38.90059933,0.292024889,41.26311684
994,,0,,poi,-77.03033804,38.9010149,49.67367045,49.67367045
995,,0,,poi,-77.03051921,38.90293088,65.24953318,65.24953318
996,,0,,poi,-77.03050236,38.90457879,23.48200873,23.48200873
997,,0,,poi,-77.03110163,38.90051163,23.75185997,23.75185997
998,,0,,poi,-77.03131848,38.90396834,5.362364883,5.362364883
999,,0,,poi,-77.031222,38.90341763,47.58170446,47.58170446
1000,,0,,poi,-77.03229924,38.90191032,3.600904766,3.600904766
1001,,0,,poi,-77.03228209,38.90441321,19.07402597,19.07402597
1002,,0,,poi,-77.03239213,38.90321685,7.350351495,7.350351495
1003,,0,,poi,-77.03244571,38.90097242,26.0443576,26.0443576
1004,,0,,poi,-77.03274471,38.90110899,8.652569375,8.652569375
1005,,0,,poi,-77.0325213,38.90053533,37.44123975,37.44123975
1006,,0,,poi,-77.03240908,38.9021671,19.49118131,19.49118131
1007,,0,,poi,-77.03242892,38.90398625,15.74916168,15.74916168
1008,,0,,poi,-77.03260881,38.90291014,9.330911008,9.330911008
1009,,0,,poi,-77.03290461,38.90329413,10.82623344,10.82623344
1010,,0,,poi,-77.03240333,38.9034384,18.06394061,18.06394061
1011,,0,,poi,-77.03132443,38.90101602,35.16235846,35.16235846
1012,,0,,poi,-77.03289199,38.89944604,11.92544397,11.92544397
1013,,0,,poi,-77.03159331,38.89990371,15.72564254,15.72564254
1014,,0,,poi,-77.03158895,38.9039948,10.68388073,10.68388073
1015,,0,,poi,-77.03261256,38.89972373,29.84579402,29.84579402
1016,,0,,poi,-77.03156977,38.90428123,6.663344914,6.663344914
1017,,0,,poi,-77.03159639,38.90064639,15.52263519,15.52263519
1018,,0,,poi,-77.03160235,38.90291501,14.02359921,14.02359921
1019,,0,,poi,-77.03181128,38.90224201,0.095314427,0.095314427
1020,,0,,poi,-77.0267548,38.90290817,4.013108714,4.013108714
1021,,0,,poi,-77.03408915,38.89957935,8.055925822,8.055925822
1022,,0,,poi,-77.03407911,38.89940911,12.62482905,12.62482905
1023,,0,,poi,-77.03403081,38.90049433,14.92351593,14.92351593
1024,,0,,poi,-77.03415445,38.8990954,119.8989719,0.988449892
1025,,0,,poi,-77.03391258,38.89910669,93.77266865,0.773064045
1026,,0,,poi,-77.03403244,38.89985552,20.83424823,20.83424823
1027,,0,,poi,-77.03424697,38.90082329,48.82326771,48.82326771
1028,,0,,poi,-77.02628306,38.90308315,3.328577833,3.328577833
1029,,0,,poi,-77.02628793,38.90195648,26.36991207,26.36991207
1030,,0,,poi,-77.02629168,38.90330997,8.18342434,8.18342434
1031,,0,,poi,-77.02621123,38.9028539,5.491101251,5.491101251
1032,,0,,poi,-77.0252966,38.90211154,56.82349029,56.82349029
1033,,0,,poi,-77.03055342,38.9040921,15.04111166,15.04111166
1034,,0,,poi,-77.02998449,38.90055651,17.44130222,17.44130222
1035,,0,,poi,-77.02999027,38.90351346,8.502789562,8.502789562
1036,,0,,poi,-77.03000425,38.9042002,30.18991624,30.18991624
1037,,0,,poi,-77.03047644,38.90342339,17.22591637,17.22591637
1038,,0,,poi,-77.03041348,38.90053424,15.0497766,15.0497766
1039,,0,,poi,-77.03001549,38.90331071,0.866710065,0.866710065
1040,,0,,poi,-77.02670032,38.90333902,18.05156212,18.05156212
1041,,0,,poi,-77.02673297,38.90276514,2.600722211,2.600722211
1042,,0,,poi,-77.02573696,38.90313558,6.819313975,6.819313975
1043,,0,,poi,-77.03107866,38.90453743,7.048316169,7.048316169
1044,,0,,poi,-77.03066993,38.90051927,8.333204153,8.333204153
1045,,0,,poi,-77.03131663,38.90292541,8.525070856,8.525070856
1046,,0,,poi,-77.0311896,38.89997596,1.185214174,1.185214174
1047,,0,,poi,-77.03281988,38.90353922,4.999674922,4.999674922
1048,,0,,poi,-77.03319291,38.89987808,27.12500039,27.12500039
1049,,0,,poi,-77.03286019,38.89990849,5.462630708,5.462630708
1050,,0,,poi,-77.03316683,38.90054639,21.39499415,21.39499415
1051,,0,,poi,-77.03281076,38.90214182,6.35016894,6.35016894
1052,,0,,poi,-77.0329707,38.90212849,7.954422146,7.954422146
1053,,0,,poi,-77.033219,38.90099941,22.49296683,22.49296683
1054,,0,,poi,-77.03329952,38.90182261,4.627082164,4.627082164
1055,,0,,poi,-77.03304419,38.90290176,22.31347862,22.31347862
1056,,0,,poi,-77.03325423,38.89927912,15.24659471,15.24659471
1057,,0,,poi,-77.03309193,38.90160887,25.69775969,25.69775969
1058,,0,,poi,-77.03328358,38.89950863,4.979869327,4.979869327
1059,,0,,poi,-77.02852977,38.90164534,26.25974345,26.25974345
1060,,0,,poi,-77.02878578,38.90290718,7.986606239,7.986606239
1061,,0,,poi,-77.02845652,38.90291033,20.3552004,20.3552004
1062,,0,,poi,-77.02846292,38.90395644,10.5737121,10.5737121
1063,,0,,poi,-77.02872825,38.90408142,14.97921917,14.97921917
1064,,0,,poi,-77.0291156,38.90335445,26.49864844,26.49864844
1065,,0,,poi,-77.02868615,38.90094056,43.95232916,43.95232916
1066,,0,,poi,-77.02735176,38.90221092,6.919579801,6.919579801
1067,,0,,poi,-77.02738808,38.90198975,7.162198341,7.162198341
1068,,0,,poi,-77.02831804,38.90410103,1.819639053,1.819639053
1069,,0,,poi,-77.02848548,38.90326037,12.73004627,12.73004627
1070,,0,,poi,-77.02842864,38.90411978,1.26136884,1.26136884
1071,,0,,poi,-77.02847972,38.90351341,12.94295642,12.94295642
1072,,0,,poi,-77.03429982,38.89993024,6.35388249,6.35388249
1073,,0,,poi,-77.03467037,38.8991228,22.40879305,22.40879305
1074,,0,,poi,-77.0348818,38.89986348,3.302582989,3.302582989
1075,,0,,poi,-77.03487748,38.89970155,3.397897416,3.397897416
1076,,0,,poi,-77.0348536,38.90003069,3.794009318,3.794009318
1077,,0,,poi,-77.03508745,38.8998809,0.146066264,0.146066264
1078,,0,,poi,-77.02915065,38.90288725,21.18579755,21.18579755
1079,,0,,poi,-77.0323135,38.90292399,13.69433119,13.69433119
1080,,0,,poi,-77.04096239,38.90320333,0.1057016,2.526268243
1081,,0,,poi,-77.04057753,38.9032031,0.068027914,1.625867138
1082,,0,,poi,-77.04118766,38.90306517,0.103118262,2.464526453
1083,,0,,poi,-77.02111556,38.90051277,0.895342067,21.3986754
1084,,0,,poi,-77.03599372,38.9008511,54.93985979,2.693130382
1085,,0,,poi,-77.03381221,38.90403803,20.16209585,20.16209585
1086,,0,,poi,-77.03400545,38.90450109,27.10767049,27.10767049
1087,,0,,poi,-77.03411294,38.9035592,1.916191329,1.916191329
1088,,0,,poi,-77.03402211,38.90353334,1.841920348,1.841920348
1089,,0,,poi,-77.03420988,38.90409937,16.78524188,16.78524188
1090,,0,,poi,-77.03386371,38.90310514,7.563261643,7.563261643
1091,,0,,poi,-77.03380524,38.90323943,3.280301694,3.280301694
1092,,0,,poi,-77.03366979,38.90345175,14.74031418,14.74031418
1093,,0,,poi,-77.03420561,38.90338976,6.055560713,6.055560713
1094,,0,,poi,-77.03337334,38.90395629,7.012418528,7.012418528
1095,,0,,poi,-77.0332557,38.90431794,27.8998943,27.8998943
1096,,0,,poi,-77.03423363,38.90301885,18.06765416,18.06765416
1097,,0,,poi,-77.03428764,38.90354901,3.724689735,3.724689735
1098,,0,,poi,-77.03608964,38.90042958,0.630872789,0.630872789
1099,,0,,poi,-77.03592525,38.90315963,73.40572482,73.40572482
1100,,0,,poi,-77.03609572,38.90404945,28.36363585,1.390374306
1101,,0,,poi,-77.03602051,38.90449584,9.864424227,9.864424227
1102,,0,,poi,-77.0360884,38.90210465,1.838798814,1.838798814
1103,,0,,poi,-77.03608587,38.90159025,10.75072461,10.75072461
1104,,0,,poi,-77.03540785,38.90213511,3.803912116,3.803912116
1105,,0,,poi,-77.03548005,38.9016611,20.50126667,20.50126667
1106,,0,,poi,-77.03535946,38.90088843,230.3301051,4.808561693
1107,,0,,poi,-77.03505986,38.90309657,58.80281196,58.80281196
1108,,0,,poi,-77.03568032,38.90214431,9.849570031,9.849570031
1109,,0,,poi,-77.03509157,38.90160726,9.002880839,9.002880839
1110,,0,,poi,-77.03487387,38.90155875,5.028145465,5.028145465
1111,,0,,poi,-77.03396543,38.90287988,8.122769705,8.122769705
1112,,0,,poi,-77.04087416,38.90310773,0.045961897,1.098489348
1113,,0,,poi,-77.02049428,38.9004632,0.227549066,5.438422674
1114,,0,,poi,-77.05078269,38.90333294,1.06433546,25.4376175
1115,,0,,poi,-77.04741941,38.89669706,0.083420306,1.993745304
1116,,0,,poi,-77.04068467,38.89693817,0.837539868,20.01720285
1117,,0,,poi,-77.04133699,38.89769776,0.327653433,7.830917039
1118,,0,,poi,-77.02737892,38.89916375,0.182878838,4.370804221
1119,,0,,poi,-77.01855582,38.89961141,0.657352008,15.71071299
1120,,0,,poi,-77.02849497,38.90337524,1.672334939,1.672334939
1121,,0,,poi,-77.02912922,38.90165304,38.89048189,1.906396171
1122,,0,,poi,-77.02432064,38.89655742,28.99539128,28.99539128
1123,,0,,poi,-77.04533685,38.89984905,1.553232271,37.12225127
1124,,0,,poi,-77.02458803,38.90436519,1.631485899,1.631485899
